STATE,Per_Capita_1980,Per_Capita_1990,Per_Capita_2000,Per_Capita_2010
Alabama,5894,11486,18189,23587
Alaska,10193,17610,22660,32537
Arizona,7041,13461,20275,25571
Arkansas,5614,10520,16904,22007
California,8295,16409,22711,29551
Colorado,7998,14821,24049,31039
Connecticut,8511,20189,28766,37807
Delaware,7449,15854,23305,29733
District Of Columbia,8960,18881,28659,45004
Florida,7270,14698,21557,26451
Georgia,6402,13631,21154,25309
Hawaii,7740,15770,21525,29227
Idaho,6248,11457,17841,22581
Illinois,8066,15201,23104,29519
Indiana,7142,13149,20397,24558
Iowa,7136,12422,19674,26545
Kansas,7350,13300,20506,26845
Kentucky,5978,11153,18093,23210
Louisiana,6430,10635,16912,24264
Maine,5768,12957,19533,26464
Maryland,8293,17730,25614,36056
Massachusetts,7458,17224,25952,35485
Michigan,7688,14154,22168,25547
Minnesota,7451,14389,23198,30656
Mississippi,5183,9648,15853,20670
Missouri,6917,12989,19936,25546
Montana,6589,11213,17151,25002
Nebraska,6936,12452,19613,26523
Nevada,8453,15214,21989,27003
New Hampshire,6966,15959,23844,32758
New Jersey,8127,18714,27006,35928
New Mexico,6119,11246,17261,23749
New York,7498,16501,23389,32104
North Carolina,6133,12885,20307,25285
North Dakota,6417,11051,17769,28700
Ohio,7285,13461,21003,25857
Oklahoma,6858,11893,17646,24046
Oregon,7557,13418,20940,26702
Pennsylvania,7077,14068,20880,28190
Rhode Island,6897,14981,21688,30005
South Carolina,5886,11897,18795,23906
South Dakota,5697,10661,17562,25570
Tennessee,6213,12255,19393,24294
Texas,7205,12904,19617,25809
Utah,6305,11029,18185,23794
Vermont,6178,13527,20625,28846
Virginia,7478,15713,23975,33326
Washington,8073,14923,22973,30661
West Virginia,6141,10520,16477,22482
Wisconsin,7243,13276,21271,27426
Wyoming,7927,12311,19134,28858
