STATE,W_Ratio_1970,AA_Ratio_1970,AI_Ratio_1970,APAC_Ratio_1970,Total_Population_1970,W_Ratio_1980,AA_Ratio_1980,AI_Ratio_1980,APAC_Ratio_1980,Total_Population_1980,W_Ratio_1990,AA_Ratio_1990,AI_Ratio_1990,APAC_Ratio_1990,Total_Population_1990,W_Ratio_2000,AA_Ratio_2000,AI_Ratio_2000,APAC_Ratio_2000,Total_Population_2000,W_Ratio_2010,AA_Ratio_2010,AI_Ratio_2010,APAC_Ratio_2010,Total_Population_2010
Alabama,0.735688040497479,0.2623181525856049,0.0007093156106051829,0.0012844913063108185,3444165,0.7387228193799981,0.25614443470892156,0.0023920591042222,0.002740686806858196,3889536,0.7364764080070544,0.25261304854962907,0.004085050018722527,0.006825493424594001,4040587,0.7183431181254445,0.2625370748191939,0.00509434532211684,0.014025461733244817,4402921,0.6956364945412378,0.2657566074862721,0.005993010490635523,0.032613887481854564,4708485
Alaska,0.7882196669574075,0.029665559187967323,0.05418433860883808,0.12793043524578704,300382,0.7830777610715209,0.034509158180362313,0.1615439258811156,0.020869154867001184,398387,0.7553809429444607,0.04081680886767035,0.1558023645424085,0.04799988364546045,550043,0.7330368800882612,0.03675356705455257,0.16539358216961939,0.06481597068756685,592786,0.7193311825213107,0.03533498593466149,0.15929223702677578,0.08604159451725206,658356
Arizona,0.9062894573380766,0.03012253656332938,0.05410356315997515,0.00948444293861878,1770900,0.8992953367133512,0.0295054625230614,0.061426777045745624,0.009772423717841854,2513399,0.8084588462163882,0.030154740714629487,0.05552915125607465,0.10585726181290768,3665228,0.777192740282811,0.03187592719737502,0.05133899640176192,0.13959233611805205,4984106,0.7559661383895634,0.04195333216601927,0.048030870219674796,0.15404965922474256,6173717
Arkansas,0.8141834715943213,0.18325061937976234,0.001047161251914033,0.001518747774002428,1923295,0.8278481034836959,0.1633961161637864,0.005587947869181484,0.0031678324833362462,2282949,0.8272954088632231,0.1590624169139308,0.005433642812323857,0.008208531410522286,2350725,0.8107948875820046,0.15883420734167003,0.006751449013821363,0.02361945606250398,2637656,0.7853449638813141,0.15736602926711876,0.0077819922851662246,0.04950701456640088,2858908
California,0.8901374591079276,0.07017158307060936,0.0045615891719065285,0.03512936864955651,19953134,0.8441795869368137,0.08425695103862516,0.010734554050538048,0.060828907974023065,21584688,0.6896610388816594,0.0742204113364033,0.00813722544080194,0.22798132434113538,29760021,0.6251567613961839,0.0701674268430804,0.010331824303755002,0.2943439874569807,32264002,0.6053837045126987,0.06487484879469749,0.010237461035393865,0.3195039856572099,35438572
Colorado,0.957002327320899,0.030087542966185665,0.004003155044333266,0.008906974668582165,2207259,0.9428844746650307,0.03700372275025771,0.00764672042476686,0.012465082159944721,2748237,0.8819449039793055,0.04041593082066079,0.008431292674768106,0.06920787252526565,3294394,0.8518645518121957,0.039497505906810934,0.010586316490208117,0.09805162579078523,4179074,0.8419643629265722,0.041537533407182595,0.011532427101306638,0.10496567656493862,4856740
Connecticut,0.9352672040753252,0.05976068283598459,0.0007329199471321291,0.004239193141558111,3031709,0.9205434270405612,0.0709430529408124,0.0015987000819653074,0.006914819936661088,3053731,0.869866776834161,0.0834375787164189,0.0020242668649357067,0.04467137758448439,3287116,0.8347617044618321,0.09302591604150097,0.0028939714782132498,0.06931840801845368,3330717,0.7963443662803206,0.10406555254305641,0.0032331625505792033,0.09635691862604379,3481421
Delaware,0.85104104330565,0.142812312991695,0.001196853151956563,0.004949790550698408,548104,0.826873971706793,0.16292908737548228,0.0023569200426312785,0.007840020875093404,590177,0.8032418248850139,0.1688162745733809,0.0030307670137262673,0.024911133527878854,666168,0.7588866380210936,0.1955261515221908,0.0035441434683810753,0.042043066988334564,770567,0.7077349899322717,0.219446732564525,0.004783315028372689,0.06803496247483068,874080
District Of Columbia,0.2766282005525373,0.7107797649733645,0.0012636977700228682,0.011328336704075292,756510,0.2768823339228999,0.710602055241754,0.0016070443696392233,0.010908566465706877,630972,0.2960405338606031,0.658434667984841,0.0024155544570769482,0.04310924369747899,606900,0.315246870373586,0.6145793241474867,0.0030665236935051637,0.06710728178542211,558613,0.3960784179518726,0.5221104470001214,0.0035574522550209015,0.07825368279298503,584407
Florida,0.8423876597829896,0.15342215848928992,0.0009834385530595072,0.003206743174661014,6789443,0.8512139086968771,0.13968412904610666,0.002600590358763119,0.006501371898253124,9615509,0.830835251337811,0.1359981499353142,0.0028084099414388366,0.030358188785435936,12937926,0.7987298910686187,0.14965369549001564,0.0034307819979965478,0.04818563144336916,15606063,0.7697838142985661,0.16366990560667777,0.003898687377900044,0.06264759271685609,18328733
