STATE,Male_Ratio_1820,Female_Ratio_1820,Male_Ratio_1830,Female_Ratio_1830,Male_Ratio_1840,Female_Ratio_1840,Male_Ratio_1850,Female_Ratio_1850,Male_Ratio_1860,Female_Ratio_1860,Male_Ratio_1870,Female_Ratio_1870,Male_Ratio_1880,Female_Ratio_1880,Male_Ratio_1890,Female_Ratio_1890,Male_Ratio_1900,Female_Ratio_1900,Male_Ratio_1910,Female_Ratio_1910,Male_Ratio_1920,Female_Ratio_1920,Male_Ratio_1930,Female_Ratio_1930,Male_Ratio_1940,Female_Ratio_1940,Male_Ratio_1950,Female_Ratio_1950,Male_Ratio_1960,Female_Ratio_1960,Male_Ratio_1970,Female_Ratio_1970,Male_Ratio_1980,Female_Ratio_1980,Male_Ratio_1990,Female_Ratio_1990,Male_Ratio_2000,Female_Ratio_2000,Male_Ratio_2010,Female_Ratio_2010
Alabama,0.5311686382436416,0.4688313617563584,0.5196961815932051,0.48030381840679487,0.5164264095497972,0.4835735904502028,0.5084646258600378,0.4915353741399621,0.5074574699673616,0.4925425300326384,0.49021255937861086,0.5097874406213891,0.4931695320018535,0.5068304679981466,0.5006262322234317,0.4993737677765683,0.5013208858547917,0.4986791141452083,0.5024145348214507,0.4975854651785493,0.4995818027113834,0.5004181972886166,0.4969333939978415,0.5030666060021586,0.4941476426961049,0.5058523573038951,0.49077927180694136,0.5092207281930586,0.4872469189467175,0.5127530810532824,0.4825381478529629,0.5174618521470371,0.48063375217777193,0.5193662478222281,0.47917839660425576,0.5208216033957442,0.4826750016864923,0.5173249983135076,0.4854217889858352,0.5145782110141648
Alaska,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5695393227128627,0.4304606772871374,0.5435012750431117,0.4564987249568882,0.530149234417732,0.46985076558226807,0.5269897080773684,0.4730102919226315,0.5169811079989536,0.48301889200104636,0.5204334927650299,0.47956650723497
Arizona,,,,,,,,,,,,,,,,,,,,,0.5494400919314584,0.4505599080685416,0.5310338335939097,0.46896616640609035,0.5171042801260263,0.48289571987397373,0.505690466883764,0.494309533116236,0.5029547037578302,0.49704529624216975,0.4918436952961771,0.5081563047038229,0.49221345625713936,0.5077865437428607,0.4940186531369945,0.5059813468630056,0.4991698878422775,0.5008301121577224,0.49684207660899526,0.5031579233910047
Arkansas,,,,,0.538852563182815,0.4611474368171849,0.5233328727899875,0.47666712721001253,0.5230152715581582,0.47698472844184175,0.5124372769474334,0.4875627230525666,0.5187115666178623,0.4812884333821376,0.5192039561098017,0.48079604389019825,0.5148906191386772,0.4851093808613228,0.5144822093316456,0.48551779066835443,0.5109153956959349,0.48908460430406503,0.5067954285886841,0.49320457141131596,0.5042179926305038,0.4957820073694962,0.4983129188572362,0.5016870811427637,0.4920790338761398,0.5079209661238602,0.4847462297775432,0.5152537702224568,0.4831486571890301,0.5168513428109699,0.4820112943879016,0.5179887056120984,0.48802760529662603,0.511972394703374,0.4909729971830484,0.5090270028169517
California,,,,,,,0.9242200071276607,0.07577999287233927,0.7193192524092485,0.28068074759075146,0.6237945049237211,0.3762054950762789,0.5992593911834707,0.40074060881652934,0.5794566809863178,0.4205433190136823,0.552526408148396,0.44747359185160396,0.5564461552632564,0.4435538447367436,0.5292280603152565,0.47077193968474357,0.5183133527124307,0.48168664728756927,0.5089811820301946,0.49101881796980534,0.5002378090845054,0.4997621909154946,0.49860694052199106,0.5013930594780089,0.4919871234263249,0.5080128765736751,0.4929243411604459,0.5070756588395541,0.5005919518672383,0.49940804813276174,0.49820109136703356,0.5017989086329664,0.4970701635015621,0.5029298364984379
Colorado,,,,,,,,,,,,,0.6645036459164192,0.33549635408358075,0.5949737747393243,0.4050262252606757,0.5472151195108393,0.45278488048916066,0.539028865215563,0.460971134784437,0.5243888811435151,0.4756111188564848,0.5124122530510499,0.48758774694895013,0.506347391960801,0.4936526080391989,0.5019655283531899,0.49803447164681014,0.4962903668126802,0.5037096331873198,0.49354289641587146,0.5064571035841285,0.49630133800974685,0.5036986619902531,0.49517301209266407,0.5048269879073359,0.5035693021186113,0.4964306978813887,0.5012057593301196,0.49879424066988043
Connecticut,0.4891684416368011,0.5108315583631988,0.4935080204921475,0.5064919795078525,0.4909993612449916,0.5090006387550084,0.49543679475285335,0.5045632052471466,0.49113435489093704,0.508865645109063,0.4935678216182222,0.5064321783817778,0.49105829452384775,0.5089417054761523,0.4951879912845155,0.5048120087154845,0.5000924682415623,0.4999075317584377,0.5056191668849506,0.4943808331150494,0.5036356564498407,0.4963643435501593,0.49866295600916793,0.501337043990832,0.49725141319953525,0.5027485868004647,0.4924559603044916,0.5075440396955083,0.49077481605248274,0.5092251839475173,0.4850356680011175,0.5149643319988825,0.4820493529361792,0.5179506470638208,0.4845807084386435,0.5154192915613566,0.48430113652213364,0.5156988634778664,0.4867282561161603,0.5132717438838398
Delaware,0.5077595568323964,0.4922404431676037,0.5020717152238495,0.49792828477615053,0.5027341999103541,0.4972658000896459,0.5020648516365861,0.4979351483634139,0.5051775147928994,0.4948224852071006,0.50096388433388,0.49903611566612005,0.5054840117865328,0.4945159882134672,0.5078727306178892,0.4921272693821108,0.5096922618886514,0.4903077381113487,0.5112395092970611,0.48876049070293887,0.5101052452209163,0.4898947547790837,0.5086710294487793,0.49132897055122077,0.5040543329393444,0.4959456670606555,0.4946602323278369,0.5053397676721632,0.49549622220429673,0.5045037777957032,0.48773955307751815,0.5122604469224818,0.48221550700106675,0.5177844929989333,0.4848146413517311,0.5151853586482689,0.48563169984686066,0.5143683001531394,0.48437747094998074,0.5156225290500193
District Of Columbia,0.48152183782802144,0.5184781621719786,0.4805944670382086,0.5194055329617915,0.4651583089311859,0.5348416910688141,0.4675063362160698,0.5324936637839301,0.47281566329248803,0.527184336707512,0.4722247532270311,0.5277752467729688,0.4705332612709994,0.5294667387290006,0.4756415153303934,0.5243584846696066,0.47361132040270093,0.5263886795972991,0.4773929301746766,0.5226070698253235,0.4651656531168656,0.5348343468831344,0.47627390530101527,0.5237260946989848,0.47885131904972317,0.5211486809502768,0.471114889712757,0.5288851102872429,0.46883721051997757,0.5311627894800224,0.464621749877728,0.535378250122272,0.46279449754281854,0.5372055024571815,0.46625473718899324,0.5337452628110068,0.4708710115565003,0.5291289884434998,0.47234691045547533,0.5276530895445246
Florida,,,,,,,0.5252101320830236,0.47478986791697636,0.5193556656981713,0.48064433430182874,0.5035899184012612,0.49641008159873873,0.506298864905582,0.49370113509441804,0.5159316543270435,0.48406834567295653,0.5207646696005237,0.4792353303994763,0.5237258161167868,0.47627418388321313,0.5114458888762687,0.48855411112373126,0.5024311900673677,0.4975688099326323,0.497057047117814,0.5029429528821859,0.49323946660508317,0.5067605333949169,0.49212430022053655,0.5078756997794635,0.48245062223808344,0.5175493777619166,0.4797322559767149,0.5202677440232851,0.48398166754084077,0.5160183324591592,0.48789454235158247,0.5121054576484175,0.4887614214115931,0.5112385785884068
