STATE,Urban_Ratio_1970,Suburban_Ratio_1970,Rural_Ratio_1970,Urban_Ratio_1980,Suburban_Ratio_1980,Rural_Ratio_1980,Urban_Ratio_1990,Suburban_Ratio_1990,Rural_Ratio_1990,Urban_Ratio_2000,Suburban_Ratio_2000,Rural_Ratio_2000,Urban_Ratio_2010,Suburban_Ratio_2010,Rural_Ratio_2010
Alabama,0.3717374167613921,0.21242187874274315,0.41584070449586474,0.45339285567535587,0.14696159725189836,0.3996455470727458,0.4553709646642926,0.1483900730265182,0.39623896230918926,0.43651098468664973,0.11793415933979447,0.4455548559735558,0.48649214098853993,0.10387602997320354,0.4096318290382565
Alaska,0.0,0.48442316783295936,0.5155768321670406,0.42365702710706205,0.21978295437861298,0.35656001851432495,0.4033920984359405,0.271527862367124,0.3250800391969355,0.4429028985599714,0.21308052547963735,0.34401657596039126,0.44458211483306137,0.21561576444846817,0.3398021207184705
Arizona,0.653645603930205,0.14191823366649725,0.20443616240329776,0.7039858877976908,0.13433190531286157,0.16168220688944768,0.7246471433700714,0.15032516394614467,0.12502769268378394,0.7617313032780367,0.11994077922563925,0.11832791749632404,0.8006522823703379,0.09744592356372019,0.10190179406594194
Arkansas,0.19686215583152872,0.30273099030569933,0.500406853862772,0.24638706107980327,0.2695060213826328,0.48410691753756396,0.2515904667708898,0.28357251486243606,0.4648370183666741,0.32196715792623626,0.2032737338220992,0.47475910825166456,0.3953598832340278,0.16624335800938161,0.43839675875659057
California,0.8092848972998428,0.0996472534089131,0.09106784929124417,0.8353889161785443,0.07756086703417987,0.08705021678727587,0.855716163641148,0.07073886137378733,0.0735449749850647,0.8842205729110081,0.06021717632398636,0.05556225076500559,0.8972923305111543,0.05223383524691982,0.05047383424192588
Colorado,0.645149028727485,0.14012854857540505,0.21472242269710987,0.6979543689817589,0.10823871854459087,0.1938069124736502,0.7217776622954024,0.10250656114599528,0.1757157765586023,0.7469551371097918,0.09772390003768662,0.15532096285252162,0.7686061549400739,0.09291544811536476,0.13847839694456132
Connecticut,0.6932255041628336,0.08028277120264511,0.22649172463452133,0.7448957000568932,0.04342741738255154,0.21167688256055522,0.7470673380556087,0.044370505938944656,0.20856215600544672,0.8364242056751229,0.04098057150575602,0.12259522281912105,0.8483205688038126,0.03160574545122866,0.1200736857449588
Delaware,0.6379701662458219,0.08373410885525374,0.2782957248989243,0.6184393392312119,0.08792471623890782,0.2936359445298803,0.6886386016740522,0.041659161052467246,0.2697022372734806,0.6776824910668708,0.12343797856049005,0.1988795303726391,0.6871128613016101,0.1458537041697942,0.16703343452859565
District Of Columbia,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0
Florida,0.6088545113347296,0.19653364790012967,0.19461184076514082,0.7621843886987545,0.08042919566392416,0.1573864156373213,0.7866503487498692,0.06103791287722623,0.1523117383729046,0.8428097495879524,0.050049873679623894,0.10714037673242367,0.8744037516534752,0.03722655495813856,0.08836969338838624
Georgia,0.40965884640734707,0.19346322916609926,0.3968779244265537,0.47651399707675396,0.1475049445324591,0.37598105839078694,0.503329002923027,0.1291505253915584,0.36752047168541463,0.612000948396088,0.10432430260089443,0.28367474900301753,0.6538499056479418,0.096811890351564,0.24933820400049422
Hawaii,0.5756172899743807,0.2553941717053038,0.1689885383203155,0.7133631390776943,0.1517760609355742,0.1348607999867315,0.6741467693049,0.21571534403088172,0.11013788666421831,0.6899599434437413,0.2247665568612432,0.0852734996950155,0.7146028709822312,0.20467087798950379,0.08072625102826507
Idaho,0.11954945991043649,0.42135967565155275,0.4590908644380107,0.19943004550101437,0.34054569435395443,0.46002426014503117,0.27633501498387386,0.29800277924288976,0.42566220577323644,0.4666382782063954,0.19760300412766152,0.33575871766594306,0.5051365733977553,0.20064468716788023,0.2942187394343645
Illinois,0.7084577112637278,0.12201205041292153,0.1695302383233507,0.7258447411538668,0.10713333668226839,0.1670219221638648,0.7417533214786063,0.10409469247551441,0.1541519860458793,0.7840601715411658,0.09437308548884385,0.12156674296999032,0.7997011370912984,0.08517756568811263,0.11512129722058898
Indiana,0.46116396712998076,0.18809958817167594,0.3507364446983433,0.4737806690583116,0.16832391538123034,0.357895415560458,0.48567799011536283,0.1633111532335202,0.351010856651117,0.5609638046965003,0.1468762771390769,0.2921599181644227,0.5917182541971516,0.13271780970486144,0.27556393609798696
Iowa,0.29817347265378263,0.27413170201134696,0.4276948253348704,0.31980693305804636,0.26644720585570497,0.41374586108624867,0.33948007656419094,0.2666464992410205,0.39387342419478855,0.38095234840708003,0.2298590313307754,0.38918862026214457,0.4165515837779904,0.22364169638797843,0.3598067198340312
Kansas,0.3498356166578681,0.3111118331969778,0.3390525501451541,0.36153513230857487,0.3051793411880378,0.33328552650338733,0.4111295969363579,0.2800965783463985,0.3087738247172436,0.44927239737273,0.2651511037346127,0.2855764988926573,0.5017051520476896,0.240276427403283,0.2580184205490274
Kentucky,0.3482371487175281,0.17497093552502155,0.47679191575745034,0.3367268751961674,0.17195830284117278,0.49131482196265985,0.3464728477712509,0.17189121308030617,0.4816359391484429,0.3876421438236574,0.16998497440106053,0.44237288177528206,0.40985885729416294,0.17394587735953193,0.41619526534630513
Louisiana,0.4677239430028676,0.19306919001039738,0.33920686698673497,0.5234696497776933,0.16302051879502605,0.3135098314272807,0.5279697287162738,0.15254623667023462,0.3194840346134916,0.5673814314509633,0.15888449613513253,0.27373407241390424,0.6133196216855797,0.11854288595773742,0.2681374923566828
Maine,0.1731881925068142,0.33500999951615246,0.4918018079770334,0.22155051304394216,0.25332367115394877,0.525125815802109,0.21722120515209362,0.22891570189783114,0.5538630929500753,0.24625173441847076,0.15602981513393357,0.5977184504475956,0.26208011225864053,0.12451810915857964,0.6134017785827798
Maryland,0.6600345859765924,0.10580667596539771,0.2341587380580099,0.7449344613140937,0.05814238879765709,0.19692314988824927,0.7490295867294312,0.06419953035343957,0.1867708829171292,0.8020391255636284,0.058657570321152555,0.13930330411521905,0.8353382804900692,0.036625979985977435,0.12803573952395336
Massachusetts,0.7618327453741055,0.0837122110958189,0.15445504353007555,0.7747370288879085,0.06338533288176458,0.16187763823032691,0.7862446552562361,0.05638248627714964,0.1573728584666143,0.887548103297209,0.02618293593561415,0.08626896076717681,0.9030291728502027,0.016691385538184892,0.08027944161161239
