GISJOIN,GEOGYEAR,STATE,STATEA,COUNTY,COUNTYA,CW3AA1990,CW3AA1990L,CW3AA1990U,CW3AA2000,CW3AA2000L,CW3AA2000U,CW3AA2010,CW3AB1990,CW3AB1990L,CW3AB1990U,CW3AB2000,CW3AB2000L,CW3AB2000U,CW3AB2010,CW3AC1990,CW3AC1990L,CW3AC1990U,CW3AC2000,CW3AC2000L,CW3AC2000U,CW3AC2010,CW3AD1990,CW3AD1990L,CW3AD1990U,CW3AD2000,CW3AD2000L,CW3AD2000U,CW3AD2010,CW3AE1990,CW3AE1990L,CW3AE1990U,CW3AE2000,CW3AE2000L,CW3AE2000U,CW3AE2010,CW3AF1990,CW3AF1990L,CW3AF1990U,CW3AF2000,CW3AF2000L,CW3AF2000U,CW3AF2010,CW3AG1990,CW3AG1990L,CW3AG1990U,CW3AG2000,CW3AG2000L,CW3AG2000U,CW3AG2010,CW3AH1990,CW3AH1990L,CW3AH1990U,CW3AH2000,CW3AH2000L,CW3AH2000U,CW3AH2010,CW3AI1990,CW3AI1990L,CW3AI1990U,CW3AI2000,CW3AI2000L,CW3AI2000U,CW3AI2010,CW3AJ1990,CW3AJ1990L,CW3AJ1990U,CW3AJ2000,CW3AJ2000L,CW3AJ2000U,CW3AJ2010,CW3AK1990,CW3AK1990L,CW3AK1990U,CW3AK2000,CW3AK2000L,CW3AK2000U,CW3AK2010,CW3AL1990,CW3AL1990L,CW3AL1990U,CW3AL2000,CW3AL2000L,CW3AL2000U,CW3AL2010,CW3AM1990,CW3AM1990L,CW3AM1990U,CW3AM2000,CW3AM2000L,CW3AM2000U,CW3AM2010,CW3AN1990,CW3AN1990L,CW3AN1990U,CW3AN2000,CW3AN2000L,CW3AN2000U,CW3AN2010,CW3AO1990,CW3AO1990L,CW3AO1990U,CW3AO2000,CW3AO2000L,CW3AO2000U,CW3AO2010,CW3AP1990,CW3AP1990L,CW3AP1990U,CW3AP2000,CW3AP2000L,CW3AP2000U,CW3AP2010,CW3AQ1990,CW3AQ1990L,CW3AQ1990U,CW3AQ2000,CW3AQ2000L,CW3AQ2000U,CW3AQ2010,CW3AR1990,CW3AR1990L,CW3AR1990U,CW3AR2000,CW3AR2000L,CW3AR2000U,CW3AR2010,CW3AS1990,CW3AS1990L,CW3AS1990U,CW3AS2000,CW3AS2000L,CW3AS2000U,CW3AS2010,CW3AT1990,CW3AT1990L,CW3AT1990U,CW3AT2000,CW3AT2000L,CW3AT2000U,CW3AT2010,CW3AU1990,CW3AU1990L,CW3AU1990U,CW3AU2000,CW3AU2000L,CW3AU2000U,CW3AU2010,CW3AV1990,CW3AV1990L,CW3AV1990U,CW3AV2000,CW3AV2000L,CW3AV2000U,CW3AV2010
GIS Join Match Code,Geography Year,State Name,State Code,County Name,County Code,1990: Persons: Under 5 years,Lower bound: 1990: Persons: Under 5 years,Upper bound: 1990: Persons: Under 5 years,2000: Persons: Under 5 years,Lower bound: 2000: Persons: Under 5 years,Upper bound: 2000: Persons: Under 5 years,2010: Persons: Under 5 years,1990: Persons: 5 to 9 years,Lower bound: 1990: Persons: 5 to 9 years,Upper bound: 1990: Persons: 5 to 9 years,2000: Persons: 5 to 9 years,Lower bound: 2000: Persons: 5 to 9 years,Upper bound: 2000: Persons: 5 to 9 years,2010: Persons: 5 to 9 years,1990: Persons: 10 to 14 years,Lower bound: 1990: Persons: 10 to 14 years,Upper bound: 1990: Persons: 10 to 14 years,2000: Persons: 10 to 14 years,Lower bound: 2000: Persons: 10 to 14 years,Upper bound: 2000: Persons: 10 to 14 years,2010: Persons: 10 to 14 years,1990: Persons: 15 to 17 years,Lower bound: 1990: Persons: 15 to 17 years,Upper bound: 1990: Persons: 15 to 17 years,2000: Persons: 15 to 17 years,Lower bound: 2000: Persons: 15 to 17 years,Upper bound: 2000: Persons: 15 to 17 years,2010: Persons: 15 to 17 years,1990: Persons: 18 and 19 years,Lower bound: 1990: Persons: 18 and 19 years,Upper bound: 1990: Persons: 18 and 19 years,2000: Persons: 18 and 19 years,Lower bound: 2000: Persons: 18 and 19 years,Upper bound: 2000: Persons: 18 and 19 years,2010: Persons: 18 and 19 years,1990: Persons: 20 years,Lower bound: 1990: Persons: 20 years,Upper bound: 1990: Persons: 20 years,2000: Persons: 20 years,Lower bound: 2000: Persons: 20 years,Upper bound: 2000: Persons: 20 years,2010: Persons: 20 years,1990: Persons: 21 years,Lower bound: 1990: Persons: 21 years,Upper bound: 1990: Persons: 21 years,2000: Persons: 21 years,Lower bound: 2000: Persons: 21 years,Upper bound: 2000: Persons: 21 years,2010: Persons: 21 years,1990: Persons: 22 to 24 years,Lower bound: 1990: Persons: 22 to 24 years,Upper bound: 1990: Persons: 22 to 24 years,2000: Persons: 22 to 24 years,Lower bound: 2000: Persons: 22 to 24 years,Upper bound: 2000: Persons: 22 to 24 years,2010: Persons: 22 to 24 years,1990: Persons: 25 to 29 years,Lower bound: 1990: Persons: 25 to 29 years,Upper bound: 1990: Persons: 25 to 29 years,2000: Persons: 25 to 29 years,Lower bound: 2000: Persons: 25 to 29 years,Upper bound: 2000: Persons: 25 to 29 years,2010: Persons: 25 to 29 years,1990: Persons: 30 to 34 years,Lower bound: 1990: Persons: 30 to 34 years,Upper bound: 1990: Persons: 30 to 34 years,2000: Persons: 30 to 34 years,Lower bound: 2000: Persons: 30 to 34 years,Upper bound: 2000: Persons: 30 to 34 years,2010: Persons: 30 to 34 years,1990: Persons: 35 to 39 years,Lower bound: 1990: Persons: 35 to 39 years,Upper bound: 1990: Persons: 35 to 39 years,2000: Persons: 35 to 39 years,Lower bound: 2000: Persons: 35 to 39 years,Upper bound: 2000: Persons: 35 to 39 years,2010: Persons: 35 to 39 years,1990: Persons: 40 to 44 years,Lower bound: 1990: Persons: 40 to 44 years,Upper bound: 1990: Persons: 40 to 44 years,2000: Persons: 40 to 44 years,Lower bound: 2000: Persons: 40 to 44 years,Upper bound: 2000: Persons: 40 to 44 years,2010: Persons: 40 to 44 years,1990: Persons: 45 to 49 years,Lower bound: 1990: Persons: 45 to 49 years,Upper bound: 1990: Persons: 45 to 49 years,2000: Persons: 45 to 49 years,Lower bound: 2000: Persons: 45 to 49 years,Upper bound: 2000: Persons: 45 to 49 years,2010: Persons: 45 to 49 years,1990: Persons: 50 to 54 years,Lower bound: 1990: Persons: 50 to 54 years,Upper bound: 1990: Persons: 50 to 54 years,2000: Persons: 50 to 54 years,Lower bound: 2000: Persons: 50 to 54 years,Upper bound: 2000: Persons: 50 to 54 years,2010: Persons: 50 to 54 years,1990: Persons: 55 to 59 years,Lower bound: 1990: Persons: 55 to 59 years,Upper bound: 1990: Persons: 55 to 59 years,2000: Persons: 55 to 59 years,Lower bound: 2000: Persons: 55 to 59 years,Upper bound: 2000: Persons: 55 to 59 years,2010: Persons: 55 to 59 years,1990: Persons: 60 and 61 years,Lower bound: 1990: Persons: 60 and 61 years,Upper bound: 1990: Persons: 60 and 61 years,2000: Persons: 60 and 61 years,Lower bound: 2000: Persons: 60 and 61 years,Upper bound: 2000: Persons: 60 and 61 years,2010: Persons: 60 and 61 years,1990: Persons: 62 to 64 years,Lower bound: 1990: Persons: 62 to 64 years,Upper bound: 1990: Persons: 62 to 64 years,2000: Persons: 62 to 64 years,Lower bound: 2000: Persons: 62 to 64 years,Upper bound: 2000: Persons: 62 to 64 years,2010: Persons: 62 to 64 years,1990: Persons: 65 to 69 years,Lower bound: 1990: Persons: 65 to 69 years,Upper bound: 1990: Persons: 65 to 69 years,2000: Persons: 65 to 69 years,Lower bound: 2000: Persons: 65 to 69 years,Upper bound: 2000: Persons: 65 to 69 years,2010: Persons: 65 to 69 years,1990: Persons: 70 to 74 years,Lower bound: 1990: Persons: 70 to 74 years,Upper bound: 1990: Persons: 70 to 74 years,2000: Persons: 70 to 74 years,Lower bound: 2000: Persons: 70 to 74 years,Upper bound: 2000: Persons: 70 to 74 years,2010: Persons: 70 to 74 years,1990: Persons: 75 to 79 years,Lower bound: 1990: Persons: 75 to 79 years,Upper bound: 1990: Persons: 75 to 79 years,2000: Persons: 75 to 79 years,Lower bound: 2000: Persons: 75 to 79 years,Upper bound: 2000: Persons: 75 to 79 years,2010: Persons: 75 to 79 years,1990: Persons: 80 to 84 years,Lower bound: 1990: Persons: 80 to 84 years,Upper bound: 1990: Persons: 80 to 84 years,2000: Persons: 80 to 84 years,Lower bound: 2000: Persons: 80 to 84 years,Upper bound: 2000: Persons: 80 to 84 years,2010: Persons: 80 to 84 years,1990: Persons: 85 years and over,Lower bound: 1990: Persons: 85 years and over,Upper bound: 1990: Persons: 85 years and over,2000: Persons: 85 years and over,Lower bound: 2000: Persons: 85 years and over,Upper bound: 2000: Persons: 85 years and over,2010: Persons: 85 years and over
"G0100010","2010","Alabama","01","Autauga County","001",2679.17,2679,2706,3023.13,3023,3053,3579,2752.17,2752,2781,3618.21,3618,3659,3991,2887.13,2887,2917,3738.18,3738,3762,4290,1780.09,1780,1799,2115.08,2115,2127,2753,1115.08,1115,1128,1147.03,1147,1153,1537,469.02,469,473,492.02,492,497,665,423.03,423,430,466.03,466,471,586,1324.05,1324,1334,1386.10,1386,1405,1829,2675.15,2675,2704,2712.15,2712,2745,3157,2882.18,2882,2914,3028.14,3028,3051,3330,2611.17,2611,2644,3998.15,3998,4023,4157,2453.12,2453,2477,3671.17,3671,3699,4086,2042.07,2042,2065,3028.17,3028,3059,4332,1845.13,1845,1871,2607.12,2607,2627,3873,1608.04,1608,1621,2291.06,2291,2307,3083,530.02,530,536,814.03,814,824,1101,775.02,775,783,1086.02,1086,1091,1676,1114.01,1114,1123,1537.07,1537,1550,2277,852.02,852,858,1144.03,1144,1156,1736,668.01,668,670,830.02,830,835,1251,439.00,439,439,512.01,512,515,731,299.00,299,299,428.00,428,429,551
"G0100030","2010","Alabama","01","Baldwin County","003",6753.00,6753,6753,8621.00,8621,8621,11158,7091.00,7091,7091,9486.00,9486,9486,11599,7264.00,7264,7264,10144.00,10144,10144,11926,4425.00,4425,4425,6069.00,6069,6069,7215,2896.00,2896,2896,3394.00,3394,3394,4385,1238.00,1238,1238,1518.00,1518,1518,1958,1049.00,1049,1049,1419.00,1419,1419,1746,3181.00,3181,3181,4155.00,4155,4155,5745,6924.00,6924,6924,8088.00,8088,8088,10247,7546.00,7546,7546,8932.00,8932,8932,10709,7301.00,7301,7301,10749.00,10749,10749,11558,6807.00,6807,6807,11159.00,11159,11159,11995,5783.00,5783,5783,10234.00,10234,10234,13431,5031.00,5031,5031,9375.00,9375,9375,13490,4912.00,4912,4912,8276.00,8276,8276,12523,1906.00,1906,1906,2909.00,2909,2909,4800,3294.00,3294,3294,4184.00,4184,4184,7212,5156.00,5156,5156,6622.00,6622,6622,10174,3865.00,3865,3865,5733.00,5733,5733,7629,2923.00,2923,2923,4429.00,4429,4429,5598,1775.00,1775,1775,2755.00,2755,2755,3934,1160.00,1160,1160,2164.00,2164,2164,3233
"G0100050","2010","Alabama","01","Barbour County","005",1885.08,1885,1888,1788.03,1788,1789,1702,2141.03,2141,2143,2053.11,2053,2057,1642,2129.03,2129,2130,2156.08,2156,2159,1599,1309.03,1309,1310,1386.03,1386,1387,1072,784.00,784,784,763.04,763,764,659,331.03,331,332,408.00,408,408,348,301.00,301,301,363.00,363,363,340,954.00,954,954,1157.00,1157,1157,1106,1837.00,1837,1838,2058.06,2058,2060,2010,1830.06,1830,1833,2008.03,2008,2009,1808,1834.03,1834,1835,2349.00,2349,2349,1819,1782.03,1782,1783,2184.13,2184,2188,1809,1253.06,1253,1255,1958.03,1958,1959,2108,1081.04,1081,1082,1970.06,1970,1972,1910,1114.04,1114,1115,1424.11,1424,1428,1817,441.00,441,441,473.04,473,474,750,685.06,685,687,667.00,667,667,1049,1139.03,1139,1140,1061.04,1061,1062,1290,950.03,950,951,977.00,977,977,948,807.00,807,807,807.03,807,808,685,496.06,496,498,516.00,516,516,543,334.00,334,334,512.03,512,513,443
"G0100070","2010","Alabama","01","Bibb County","007",1173.26,1159,1192,1449.03,1439,1473,1378,1307.62,1297,1328,1530.03,1527,1553,1405,1401.80,1393,1430,1454.02,1454,1472,1440,917.34,908,932,853.01,849,863,978,562.01,557,568,554.01,554,563,565,265.89,264,268,284.01,280,289,260,232.16,230,236,273.01,271,281,295,729.10,725,741,865.02,850,878,936,1236.82,1228,1258,1606.04,1586,1636,1603,1236.47,1216,1273,1642.04,1632,1673,1646,1173.63,1166,1202,1599.03,1592,1622,1747,1095.02,1086,1110,1578.04,1571,1608,1635,1029.92,1024,1059,1413.02,1411,1432,1805,739.22,729,762,1312.02,1309,1333,1581,711.39,707,729,1093.04,1093,1123,1401,288.00,288,292,397.00,396,401,550,404.89,403,410,511.02,510,525,784,641.38,638,653,694.01,694,700,966,470.77,466,474,630.02,630,644,757,486.00,481,488,505.01,499,513,549,287.45,286,290,250.00,250,254,355,220.76,219,226,334.00,333,335,279
"G0100090","2010","Alabama","01","Blount County","009",2648.23,2644,2670,3528.21,3515,3543,3616,2671.26,2660,2700,3633.01,3611,3637,3880,2862.12,2854,2882,3662.25,3643,3678,4084,1855.08,1847,1864,2125.16,2103,2132,2526,1228.07,1220,1234,1257.11,1247,1262,1507,552.02,550,554,621.07,618,625,655,547.01,545,549,548.02,546,549,576,1616.07,1611,1626,1866.06,1857,1871,1876,2956.18,2944,2981,3481.20,3461,3496,3436,2986.24,2974,3015,3680.12,3659,3691,3441,2945.14,2930,2961,3966.24,3935,3980,3892,2805.14,2789,2824,3779.29,3749,3797,4033,2516.15,2506,2534,3578.81,3555,3591,4163,2197.30,2188,2209,3332.18,3309,3342,3922,1927.08,1913,1941,2922.75,2905,2940,3694,733.21,731,738,1013.06,1006,1018,1472,1088.02,1075,1091,1475.32,1467,1480,2110,1576.13,1568,1587,2035.18,2016,2044,2892,1336.04,1330,1343,1730.34,1721,1734,2187,1098.08,1091,1107,1208.12,1203,1213,1517,698.05,697,703,869.08,865,874,1035,409.00,407,410,716.07,714,721,808
"G0100110","2010","Alabama","01","Bullock County","011",942.44,941,948,733.10,732,734,742,935.08,934,940,868.08,866,869,570,936.15,935,939,866.12,866,867,675,547.41,546,553,565.37,565,568,443,317.67,317,320,319.12,319,320,283,118.32,118,119,178.00,178,178,145,146.00,146,146,163.00,163,163,128,427.84,426,430,537.41,535,540,438,825.28,824,828,856.25,856,858,822,852.41,851,857,739.10,738,740,733,804.21,803,809,886.98,884,893,712,610.71,609,613,917.96,916,918,650,531.22,530,535,799.15,794,801,845,416.22,415,420,693.44,690,697,852,412.52,411,414,525.25,525,527,768,146.00,146,146,161.28,159,163,281,246.39,245,250,279.21,277,281,358,457.00,457,457,374.96,373,375,476,476.03,475,479,311.00,311,311,359,399.42,397,404,315.00,315,315,275,254.81,254,258,260.96,259,261,151,174.19,174,175,275.08,273,276,208
"G0100130","2010","Alabama","01","Butler County","013",1638.98,1636,1642,1358.00,1355,1362,1372,1953.95,1941,1963,1539.00,1537,1543,1351,1862.98,1859,1868,1699.00,1697,1704,1465,1134.99,1131,1142,1158.00,1155,1160,868,658.00,656,659,644.00,643,646,523,289.99,287,291,279.00,279,280,218,247.99,246,248,240.00,239,241,263,678.00,677,680,669.00,667,671,689,1386.96,1379,1392,1154.00,1153,1158,1283,1572.95,1563,1579,1182.00,1181,1189,1244,1498.97,1492,1505,1473.00,1472,1477,1162,1327.98,1318,1330,1568.00,1564,1570,1215,1067.98,1061,1073,1547.00,1545,1550,1428,935.98,932,942,1337.98,1331,1339,1552,942.99,941,945,1100.98,1099,1105,1531,380.00,380,382,420.00,420,421,541,633.00,631,638,524.00,524,529,753,976.99,973,984,909.00,907,909,1004,948.98,943,952,850.99,850,854,825,801.99,800,802,660.00,660,663,660,536.97,532,537,563.00,562,564,488,414.99,413,416,523.00,523,523,512
"G0100150","2010","Alabama","01","Calhoun County","015",7379.03,7371,7385,6925.98,6907,6929,7204,7965.06,7960,7974,7410.01,7404,7412,7521,8442.03,8433,8451,7468.96,7455,7469,7719,5192.08,5184,5202,4651.03,4648,4655,4682,4987.02,4987,4990,3529.00,3522,3531,3925,2531.01,2531,2535,1727.99,1726,1728,2081,2232.01,2232,2233,1748.01,1748,1749,2003,5217.09,5215,5228,4652.98,4643,4654,4938,8950.09,8947,8960,7098.98,7089,7099,7601,9475.12,9465,9490,7333.02,7320,7338,7186,8744.07,8735,8757,8146.02,8141,8149,7232,8079.05,8076,8089,8678.06,8660,8686,7395,6397.08,6393,6407,8325.03,8319,8331,8291,5458.04,5457,5463,7645.06,7635,7654,8695,5396.05,5396,5402,5921.00,5911,5924,8024,2040.03,2040,2044,2054.03,2053,2058,2980,3173.04,3173,3178,3061.99,3059,3062,4105,4845.09,4844,4854,4766.03,4763,4769,5337,3762.04,3762,3767,4183.00,4183,4183,4100,2861.01,2860,2864,3216.03,3215,3218,3374,1741.00,1740,1741,2060.99,2059,2061,2375,1168.00,1167,1169,1646.00,1645,1646,1804
"G0100170","2010","Alabama","01","Chambers County","017",2417.99,2415,2418,2430.00,2430,2430,1953,2636.07,2635,2637,2604.00,2604,2604,2045,2748.06,2746,2749,2475.08,2473,2477,2237,1830.13,1829,1832,1508.07,1508,1509,1468,1180.07,1179,1181,972.00,972,972,830,512.01,512,513,480.07,479,481,453,517.00,516,517,446.00,446,446,375,1486.00,1486,1486,1262.07,1262,1263,1097,2568.15,2568,2571,2386.00,2386,2386,1887,2628.40,2628,2634,2364.08,2364,2366,1914,2533.33,2532,2538,2507.10,2507,2510,2147,2399.48,2397,2407,2612.20,2611,2615,2285,1990.15,1988,1993,2532.07,2531,2533,2402,1690.50,1690,1699,2437.27,2436,2441,2647,1781.27,1780,1785,1984.29,1977,1990,2467,660.13,660,662,648.20,648,651,935,1081.07,1081,1082,1008.33,1004,1013,1367,1747.13,1746,1749,1595.07,1595,1596,1823,1630.07,1630,1631,1397.20,1396,1400,1285,1399.00,1399,1399,1210.07,1209,1211,1085,910.08,908,912,908.00,908,908,742,533.00,532,533,818.00,818,818,771
