GISJOIN,GEOGYEAR,STATE,STATEA,CW3AA1990,CW3AA1990L,CW3AA1990U,CW3AA2000,CW3AA2000L,CW3AA2000U,CW3AA2010,CW3AB1990,CW3AB1990L,CW3AB1990U,CW3AB2000,CW3AB2000L,CW3AB2000U,CW3AB2010,CW3AC1990,CW3AC1990L,CW3AC1990U,CW3AC2000,CW3AC2000L,CW3AC2000U,CW3AC2010,CW3AD1990,CW3AD1990L,CW3AD1990U,CW3AD2000,CW3AD2000L,CW3AD2000U,CW3AD2010,CW3AE1990,CW3AE1990L,CW3AE1990U,CW3AE2000,CW3AE2000L,CW3AE2000U,CW3AE2010,CW3AF1990,CW3AF1990L,CW3AF1990U,CW3AF2000,CW3AF2000L,CW3AF2000U,CW3AF2010,CW3AG1990,CW3AG1990L,CW3AG1990U,CW3AG2000,CW3AG2000L,CW3AG2000U,CW3AG2010,CW3AH1990,CW3AH1990L,CW3AH1990U,CW3AH2000,CW3AH2000L,CW3AH2000U,CW3AH2010,CW3AI1990,CW3AI1990L,CW3AI1990U,CW3AI2000,CW3AI2000L,CW3AI2000U,CW3AI2010,CW3AJ1990,CW3AJ1990L,CW3AJ1990U,CW3AJ2000,CW3AJ2000L,CW3AJ2000U,CW3AJ2010,CW3AK1990,CW3AK1990L,CW3AK1990U,CW3AK2000,CW3AK2000L,CW3AK2000U,CW3AK2010,CW3AL1990,CW3AL1990L,CW3AL1990U,CW3AL2000,CW3AL2000L,CW3AL2000U,CW3AL2010,CW3AM1990,CW3AM1990L,CW3AM1990U,CW3AM2000,CW3AM2000L,CW3AM2000U,CW3AM2010,CW3AN1990,CW3AN1990L,CW3AN1990U,CW3AN2000,CW3AN2000L,CW3AN2000U,CW3AN2010,CW3AO1990,CW3AO1990L,CW3AO1990U,CW3AO2000,CW3AO2000L,CW3AO2000U,CW3AO2010,CW3AP1990,CW3AP1990L,CW3AP1990U,CW3AP2000,CW3AP2000L,CW3AP2000U,CW3AP2010,CW3AQ1990,CW3AQ1990L,CW3AQ1990U,CW3AQ2000,CW3AQ2000L,CW3AQ2000U,CW3AQ2010,CW3AR1990,CW3AR1990L,CW3AR1990U,CW3AR2000,CW3AR2000L,CW3AR2000U,CW3AR2010,CW3AS1990,CW3AS1990L,CW3AS1990U,CW3AS2000,CW3AS2000L,CW3AS2000U,CW3AS2010,CW3AT1990,CW3AT1990L,CW3AT1990U,CW3AT2000,CW3AT2000L,CW3AT2000U,CW3AT2010,CW3AU1990,CW3AU1990L,CW3AU1990U,CW3AU2000,CW3AU2000L,CW3AU2000U,CW3AU2010,CW3AV1990,CW3AV1990L,CW3AV1990U,CW3AV2000,CW3AV2000L,CW3AV2000U,CW3AV2010
GIS Join Match Code,Geography Year,State Name,State Code,1990: Persons: Under 5 years,Lower bound: 1990: Persons: Under 5 years,Upper bound: 1990: Persons: Under 5 years,2000: Persons: Under 5 years,Lower bound: 2000: Persons: Under 5 years,Upper bound: 2000: Persons: Under 5 years,2010: Persons: Under 5 years,1990: Persons: 5 to 9 years,Lower bound: 1990: Persons: 5 to 9 years,Upper bound: 1990: Persons: 5 to 9 years,2000: Persons: 5 to 9 years,Lower bound: 2000: Persons: 5 to 9 years,Upper bound: 2000: Persons: 5 to 9 years,2010: Persons: 5 to 9 years,1990: Persons: 10 to 14 years,Lower bound: 1990: Persons: 10 to 14 years,Upper bound: 1990: Persons: 10 to 14 years,2000: Persons: 10 to 14 years,Lower bound: 2000: Persons: 10 to 14 years,Upper bound: 2000: Persons: 10 to 14 years,2010: Persons: 10 to 14 years,1990: Persons: 15 to 17 years,Lower bound: 1990: Persons: 15 to 17 years,Upper bound: 1990: Persons: 15 to 17 years,2000: Persons: 15 to 17 years,Lower bound: 2000: Persons: 15 to 17 years,Upper bound: 2000: Persons: 15 to 17 years,2010: Persons: 15 to 17 years,1990: Persons: 18 and 19 years,Lower bound: 1990: Persons: 18 and 19 years,Upper bound: 1990: Persons: 18 and 19 years,2000: Persons: 18 and 19 years,Lower bound: 2000: Persons: 18 and 19 years,Upper bound: 2000: Persons: 18 and 19 years,2010: Persons: 18 and 19 years,1990: Persons: 20 years,Lower bound: 1990: Persons: 20 years,Upper bound: 1990: Persons: 20 years,2000: Persons: 20 years,Lower bound: 2000: Persons: 20 years,Upper bound: 2000: Persons: 20 years,2010: Persons: 20 years,1990: Persons: 21 years,Lower bound: 1990: Persons: 21 years,Upper bound: 1990: Persons: 21 years,2000: Persons: 21 years,Lower bound: 2000: Persons: 21 years,Upper bound: 2000: Persons: 21 years,2010: Persons: 21 years,1990: Persons: 22 to 24 years,Lower bound: 1990: Persons: 22 to 24 years,Upper bound: 1990: Persons: 22 to 24 years,2000: Persons: 22 to 24 years,Lower bound: 2000: Persons: 22 to 24 years,Upper bound: 2000: Persons: 22 to 24 years,2010: Persons: 22 to 24 years,1990: Persons: 25 to 29 years,Lower bound: 1990: Persons: 25 to 29 years,Upper bound: 1990: Persons: 25 to 29 years,2000: Persons: 25 to 29 years,Lower bound: 2000: Persons: 25 to 29 years,Upper bound: 2000: Persons: 25 to 29 years,2010: Persons: 25 to 29 years,1990: Persons: 30 to 34 years,Lower bound: 1990: Persons: 30 to 34 years,Upper bound: 1990: Persons: 30 to 34 years,2000: Persons: 30 to 34 years,Lower bound: 2000: Persons: 30 to 34 years,Upper bound: 2000: Persons: 30 to 34 years,2010: Persons: 30 to 34 years,1990: Persons: 35 to 39 years,Lower bound: 1990: Persons: 35 to 39 years,Upper bound: 1990: Persons: 35 to 39 years,2000: Persons: 35 to 39 years,Lower bound: 2000: Persons: 35 to 39 years,Upper bound: 2000: Persons: 35 to 39 years,2010: Persons: 35 to 39 years,1990: Persons: 40 to 44 years,Lower bound: 1990: Persons: 40 to 44 years,Upper bound: 1990: Persons: 40 to 44 years,2000: Persons: 40 to 44 years,Lower bound: 2000: Persons: 40 to 44 years,Upper bound: 2000: Persons: 40 to 44 years,2010: Persons: 40 to 44 years,1990: Persons: 45 to 49 years,Lower bound: 1990: Persons: 45 to 49 years,Upper bound: 1990: Persons: 45 to 49 years,2000: Persons: 45 to 49 years,Lower bound: 2000: Persons: 45 to 49 years,Upper bound: 2000: Persons: 45 to 49 years,2010: Persons: 45 to 49 years,1990: Persons: 50 to 54 years,Lower bound: 1990: Persons: 50 to 54 years,Upper bound: 1990: Persons: 50 to 54 years,2000: Persons: 50 to 54 years,Lower bound: 2000: Persons: 50 to 54 years,Upper bound: 2000: Persons: 50 to 54 years,2010: Persons: 50 to 54 years,1990: Persons: 55 to 59 years,Lower bound: 1990: Persons: 55 to 59 years,Upper bound: 1990: Persons: 55 to 59 years,2000: Persons: 55 to 59 years,Lower bound: 2000: Persons: 55 to 59 years,Upper bound: 2000: Persons: 55 to 59 years,2010: Persons: 55 to 59 years,1990: Persons: 60 and 61 years,Lower bound: 1990: Persons: 60 and 61 years,Upper bound: 1990: Persons: 60 and 61 years,2000: Persons: 60 and 61 years,Lower bound: 2000: Persons: 60 and 61 years,Upper bound: 2000: Persons: 60 and 61 years,2010: Persons: 60 and 61 years,1990: Persons: 62 to 64 years,Lower bound: 1990: Persons: 62 to 64 years,Upper bound: 1990: Persons: 62 to 64 years,2000: Persons: 62 to 64 years,Lower bound: 2000: Persons: 62 to 64 years,Upper bound: 2000: Persons: 62 to 64 years,2010: Persons: 62 to 64 years,1990: Persons: 65 to 69 years,Lower bound: 1990: Persons: 65 to 69 years,Upper bound: 1990: Persons: 65 to 69 years,2000: Persons: 65 to 69 years,Lower bound: 2000: Persons: 65 to 69 years,Upper bound: 2000: Persons: 65 to 69 years,2010: Persons: 65 to 69 years,1990: Persons: 70 to 74 years,Lower bound: 1990: Persons: 70 to 74 years,Upper bound: 1990: Persons: 70 to 74 years,2000: Persons: 70 to 74 years,Lower bound: 2000: Persons: 70 to 74 years,Upper bound: 2000: Persons: 70 to 74 years,2010: Persons: 70 to 74 years,1990: Persons: 75 to 79 years,Lower bound: 1990: Persons: 75 to 79 years,Upper bound: 1990: Persons: 75 to 79 years,2000: Persons: 75 to 79 years,Lower bound: 2000: Persons: 75 to 79 years,Upper bound: 2000: Persons: 75 to 79 years,2010: Persons: 75 to 79 years,1990: Persons: 80 to 84 years,Lower bound: 1990: Persons: 80 to 84 years,Upper bound: 1990: Persons: 80 to 84 years,2000: Persons: 80 to 84 years,Lower bound: 2000: Persons: 80 to 84 years,Upper bound: 2000: Persons: 80 to 84 years,2010: Persons: 80 to 84 years,1990: Persons: 85 years and over,Lower bound: 1990: Persons: 85 years and over,Upper bound: 1990: Persons: 85 years and over,2000: Persons: 85 years and over,Lower bound: 2000: Persons: 85 years and over,Upper bound: 2000: Persons: 85 years and over,2010: Persons: 85 years and over
"G010","2010","Alabama","01",283294.99,283287,283295,295992.00,295992,295992,304957,293587.06,293580,293588,315344.99,315343,315345,308229,299413.06,299400,299414,320252.07,320252,320253,319655,182493.13,182486,182495,191833.06,191831,191834,199618,137933.06,137926,137934,132747.00,132747,132747,143853,67624.00,67622,67624,66614.07,66614,66615,72318,62666.00,62666,62666,63146.00,63146,63146,68473,175111.99,175110,175112,177105.07,177105,177106,194531,319562.12,319553,319564,301195.99,301194,301196,311034,328918.40,328911,328924,301819.07,301819,301820,297888,305847.33,305837,305852,340300.07,340300,340301,308430,277740.46,277731,277747,345212.20,345211,345215,311071,224862.13,224852,224864,315173.07,315173,315174,346369,194559.47,194555,194566,285036.24,285030,285040,347485,183677.26,183675,183681,225450.26,225448,225454,311906,71033.12,71026,71035,78966.20,78966,78969,116144,109277.06,109273,109278,111116.33,111116,111121,159983,168309.12,168300,168311,167968.06,167967,167969,209637,132909.07,132908,132910,148780.19,148778,148783,160864,105570.99,105568,105571,118108.06,118107,118109,122836,67693.06,67692,67694,77641.00,77641,77641,88771,48507.00,48503,48507,67301.00,67301,67301,75684
"G020","2010","Alaska","02",54897.00,54897,54897,47591.00,47591,47591,53996,51736.00,51736,51736,53771.00,53771,53771,50887,43179.00,43179,43179,56661.00,56661,56661,50816,22532.00,22532,22532,32694.00,32694,32694,31679,14619.00,14619,14619,17400.00,17400,17400,20462,8315.00,8315,8315,8341.00,8341,8341,10628,8050.00,8050,8050,7927.00,7927,7927,10577,24863.00,24863,24863,23624.00,23624,23624,33214,53341.00,53341,53341,42987.00,42987,42987,55419,59624.00,59624,59624,46486.00,46486,46486,47706,57768.00,57768,57768,55723.00,55723,55723,45833,45329.00,45329,45329,58326.00,58326,58326,47141,32117.00,32117,32117,53515.00,53515,53515,54726,21812.00,21812,21812,41437.00,41437,41437,56300,16595.00,16595,16595,27423.00,27423,27423,49971,5689.00,5689,5689,7726.00,7726,7726,16471,7208.00,7208,7208,9601.00,9601,9601,19467,9626.00,9626,9626,12626.00,12626,12626,22202,5922.00,5922,5922,9881.00,9881,9881,13148,3639.00,3639,3639,6863.00,6863,6863,8892,1931.00,1931,1931,3695.00,3695,3695,5985,1251.00,1251,1251,2634.00,2634,2634,4711
"G040","2010","Arizona","04",292859.00,292852,292859,382386.00,382379,382386,455715,281733.00,281731,281733,389869.00,389864,389869,453680,258364.00,258362,258364,378211.00,378210,378211,448664,148163.00,148160,148163,216481.00,216480,216481,270955,112759.00,112758,112759,151241.00,151239,151241,190627,59304.00,59304,59304,76165.00,76165,76165,93756,55863.00,55863,55863,71929.00,71928,71929,89342,164754.00,164751,164754,214766.00,214763,214766,259486,318048.00,318046,318048,374106.00,374099,374106,439998,316851.00,316849,316851,368559.00,368556,368559,416695,282765.00,282764,282765,392687.00,392685,392687,415693,245943.00,245942,245943,376117.00,376116,376117,406801,192571.00,192570,192571,331903.00,331902,331903,427022,156945.00,156945,156945,296001.00,296000,296001,415524,146658.00,146657,146658,238675.00,238673,238675,375268,59996.00,59994,59996,84016.00,84016,84016,144092,92878.00,92878,92878,119681.00,119681,119681,206868,160163.00,160162,160163,189007.00,189006,189007,282866,129881.00,129880,129881,174834.00,174834,174834,215026,94769.00,94769,94769,144201.00,144201,144201,162261,56244.00,56242,56244,91272.00,91272,91272,118278,37717.00,37717,37717,68525.00,68525,68525,103400
"G050","2010","Arkansas","05",164666.98,164653,164676,181585.00,181583,181594,197689,175050.70,175029,175066,187224.00,187219,187234,196877,176096.83,176068,176109,192934.95,192921,192944,197559,105315.86,105300,105322,118625.08,118619,118630,119350,74306.00,74294,74307,80140.00,80133,80142,84455,35573.00,35571,35574,39532.00,39531,39532,42770,33349.00,33347,33350,37020.14,37017,37022,40770,93828.00,93823,93836,105046.00,105042,105049,116110,179035.85,179019,179047,176674.00,176666,176676,192153,180009.85,179991,180024,176171.00,176163,176181,183739,169648.96,169628,169663,200340.08,200335,200347,183614,157053.98,157035,157066,197786.95,197773,197795,182594,132084.98,132065,132094,181913.13,181896,181920,205544,111251.68,111230,111256,167606.00,167598,167617,201722,105810.96,105789,105818,139393.04,139380,139401,183960,41795.00,41789,41797,48820.90,48814,48824,69489,65789.00,65779,65797,68568.79,68562,68569,97542,106652.01,106619,106662,105175.00,105170,105176,133367,89311.46,89295,89320,93158.75,93150,93164,101235,71560.14,71552,71570,76516.75,76508,76520,77741,47320.98,47320,47322,52676.53,52670,52680,56236,35216.00,35211,35218,46492.00,46490,46496,51402
"G060","2010","California","06",2397715.00,2397715,2397715,2486981.00,2486981,2486981,2531333,2223982.00,2223982,2223982,2725880.00,2725880,2725880,2505839,1977343.00,1977343,1977343,2570822.00,2570822,2570822,2590930,1151685.00,1151685,1151685,1466146.00,1466146,1466146,1666938,901463.00,901463,901463,984742.00,984742,984742,1157002,509737.00,509737,509737,490829.00,490829,490829,573642,495714.00,495714,495714,470556.00,470556,470556,555775,1505343.00,1505343,1505343,1419903.00,1419903,1419903,1636532,2854057.00,2854057,2854057,2543541.00,2543541,2543541,2744409,2832314.00,2832314,2832314,2685521.00,2685521,2685521,2573468,2500949.00,2500949,2500949,2814743.00,2814743,2814743,2573579,2138372.00,2138372,2138372,2670598.00,2670598,2670598,2609131,1620528.00,1620528,1620528,2331792.00,2331792,2331792,2689819,1282041.00,1282041,1282041,1999843.00,1999843,1999843,2562552,1133907.00,1133907,1133907,1467252.00,1467252,1467252,2204296,443446.00,443446,443446,488645.00,488645,488645,786276,655873.00,655873,655873,658196.00,658196,658196,1045921,1055174.00,1055174,1055174,984535.00,984535,984535,1303558,802047.00,802047,802047,903288.00,903288,903288,971778,601809.00,601809,601809,779347.00,779347,779347,766971,377415.00,377415,377415,502831.00,502831,502831,603239,299107.00,299107,299107,425657.00,425657,425657,600968
"G080","2010","Colorado","08",252893.00,252887,252900,297505.00,297502,297505,343960,253197.00,253188,253202,308428.00,308427,308428,348603,227289.00,227286,227296,311497.00,311496,311497,332654,127887.00,127883,127891,183365.00,183364,183365,200392,97075.00,97075,97076,123873.00,123872,123873,139083,51122.00,51120,51123,62281.00,62281,62281,69437,48916.00,48914,48916,60239.00,60239,60239,67385,138412.00,138410,138413,183718.00,183717,183718,211793,289598.00,289593,289601,331795.00,331795,331795,372459,322251.00,322245,322255,332232.00,332229,332232,353819,306058.00,306054,306064,366092.00,366091,366092,353605,262029.00,262026,262034,370731.00,370730,370731,346039,190203.00,190199,190206,334855.00,334855,334855,371635,146468.00,146464,146468,279270.00,279270,279270,371063,130193.00,130189,130195,194722.00,194722,194722,328364,49657.00,49653,49658,61959.00,61959,61959,115654,71703.00,71699,71708,82626.00,82626,82626,153626,111246.00,111242,111252,121222.00,121220,121222,182492,83281.00,83279,83284,105088.00,105088,105088,127468,61855.00,61855,61860,85922.00,85921,85922,96908,40108.00,40107,40108,55625.00,55625,55625,73144,32953.00,32951,32954,48216.00,48216,48216,69613
"G090","2010","Connecticut","09",228356.01,228356,228358,223344.03,223344,223352,202106,209005.05,209005,209021,244144.04,244144,244156,222571,194372.02,194372,194379,241587.05,241587,241601,240265,117848.02,117848,117854,132613.01,132613,132617,152073,93732.01,93732,93735,84014.02,84014,84019,98761,51542.01,51542,51546,40402.00,40402,40402,48139,49900.00,49900,49901,38804.00,38804,38805,46335,150259.01,150259,150262,108365.00,108365,108366,133424,287691.02,287691,287696,201467.03,201467,201477,214145,296191.02,296191,296196,250173.03,250173,250183,206232,265767.05,265767,265783,290866.04,290866,290877,222401,245229.03,245229,245237,290183.04,290183,290196,262037,200239.01,200239,200243,252754.03,252754,252763,291272,155803.02,155803,155809,228053.03,228053,228062,284325,147022.01,147022,147024,176961.05,176961,176975,240157,59475.00,59475,59475,56131.01,56131,56134,84356,88778.01,88778,88781,75521.01,75521,75523,118939,140359.01,140359,140362,117556.01,117556,117558,149281,115878.01,115878,115881,114009.01,114009,114011,105663,87354.01,87354,87356,101096.01,101096,101100,89252,55323.00,55323,55324,73249.01,73249,73251,77465,46993.00,46993,46994,64273.00,64273,64273,84898
"G100","2010","Delaware","10",48824.00,48824,48824,51531.00,51531,51531,55886,46949.00,46949,46949,55813.00,55813,55813,56486,43055.00,43055,43055,55274.00,55274,55274,56848,24513.00,24513,24513,31969.00,31969,31969,36545,21793.00,21793,21793,23663.00,23663,23663,28038,11793.00,11793,11793,11681.00,11681,11681,14041,11056.00,11056,11056,10917.00,10917,10917,13372,31591.00,31591,31591,29067.00,29067,29067,35454,59286.00,59286,59286,51219.00,51219,51219,57603,59829.00,59829,59829,57621.00,57621,57621,53814,52283.00,52283,52283,64654.00,64654,64654,55329,46583.00,46583,46583,62947.00,62947,62947,60758,37488.00,37488,37488,54775.00,54775,54775,67556,30626.00,30626,30626,49224.00,49224,49224,65998,29861.00,29861,29861,39320.00,39320,39320,57816,11980.00,11980,11980,13481.00,13481,13481,21688,17923.00,17923,17923,18718.00,18718,18718,31425,28474.00,28474,28474,29952.00,29952,29952,41809,21122.00,21122,21122,26463.00,26463,26463,30644,14814.00,14814,14814,21248.00,21248,21248,23885,9183.00,9183,9183,13514.00,13514,13514,17195,7142.00,7142,7142,10549.00,10549,10549,15744
"G110","2010","District Of Columbia","11",37351.00,37351,37351,32536.00,32536,32536,32613,31997.00,31997,31997,35385.00,35385,35385,26147,29318.00,29318,29318,30018.00,30018,30018,25041,18426.00,18426,18426,17053.00,17053,17053,17014,22851.00,22851,22851,20814.00,20814,20814,22905,12440.00,12440,12440,11024.00,11024,11024,12516,11572.00,11572,11572,10314.00,10314,10314,11777,35695.00,35695,35695,30485.00,30485,30485,39817,63129.00,63129,63129,52849.00,52849,52849,69649,58147.00,58147,58147,48913.00,48913,48913,55096,51399.00,51399,51399,45949.00,45949,45949,42925,43797.00,43797,43797,41728.00,41728,41728,37734,33872.00,33872,33872,39397.00,39397,39397,38539,28159.00,28159,28159,35913.00,35913,35913,37164,25441.00,25441,25441,27803.00,27803,27803,34274,10409.00,10409,10409,9536.00,9536,9536,12871,15050.00,15050,15050,12444.00,12444,12444,16832,24841.00,24841,24841,18525.00,18525,18525,21488,19712.00,19712,19712,17394.00,17394,17394,15481,15662.00,15662,15662,14976.00,14976,14976,11820,9785.00,9785,9785,10028.00,10028,10028,9705,7847.00,7847,7847,8975.00,8975,8975,10315
